state_id,w2_pos_30_q1_f,w2_pos_30_q1_m,w2_pos_30_q2_f,w2_pos_30_q2_m,w2_pos_30_q3_f,w2_pos_30_q3_m,w2_pos_30_q4_f,w2_pos_30_q4_m,w2_pos_30_q5_f,w2_pos_30_q5_m,w2_pos_30_var_q1_f,w2_pos_30_var_q1_m,w2_pos_30_var_q2_f,w2_pos_30_var_q2_m,w2_pos_30_var_q3_f,w2_pos_30_var_q3_m,w2_pos_30_var_q4_f,w2_pos_30_var_q4_m,w2_pos_30_var_q5_f,w2_pos_30_var_q5_m,w2_pos_30_q1_f_sp,w2_pos_30_q1_m_sp,w2_pos_30_q2_f_sp,w2_pos_30_q2_m_sp,w2_pos_30_q3_f_sp,w2_pos_30_q3_m_sp,w2_pos_30_q4_f_sp,w2_pos_30_q4_m_sp,w2_pos_30_q5_f_sp,w2_pos_30_q5_m_sp,w2_pos_30_var_q1_f_sp,w2_pos_30_var_q1_m_sp,w2_pos_30_var_q2_f_sp,w2_pos_30_var_q2_m_sp,w2_pos_30_var_q3_f_sp,w2_pos_30_var_q3_m_sp,w2_pos_30_var_q4_f_sp,w2_pos_30_var_q4_m_sp,w2_pos_30_var_q5_f_sp,w2_pos_30_var_q5_m_sp,w2_pos_30_q1_f_tp,w2_pos_30_q1_m_tp,w2_pos_30_q2_f_tp,w2_pos_30_q2_m_tp,w2_pos_30_q3_f_tp,w2_pos_30_q3_m_tp,w2_pos_30_q4_f_tp,w2_pos_30_q4_m_tp,w2_pos_30_q5_f_tp,w2_pos_30_q5_m_tp,w2_pos_30_var_q1_f_tp,w2_pos_30_var_q1_m_tp,w2_pos_30_var_q2_f_tp,w2_pos_30_var_q2_m_tp,w2_pos_30_var_q3_f_tp,w2_pos_30_var_q3_m_tp,w2_pos_30_var_q4_f_tp,w2_pos_30_var_q4_m_tp,w2_pos_30_var_q5_f_tp,w2_pos_30_var_q5_m_tp,pop2000,Bj_p25_czkir26_f_cc2,Bj_p25_czkir26_m_cc2,cs_race_bla,cs_race_theil_2000,cs00_seg_inc_pov25,frac_traveltime_lt15,hhinc00,gini,inc_share_1perc,eitc_exposure,tax_st_diff_top20,ccd_pup_tch_ratio,score_r,dropout_r,num_inst_pc,tuition,gradrate_r,cs_elf_ind_man,frac_worked1416,mig_inflow,mig_outflow,cs_born_foreign,scap_ski90pcm,crime_violent,cs_fam_wkidsinglemom,cs_race_bla_st,cs00_seg_inc_pov25_st,cs_fam_wkidsinglemom_st,e_rank_b_kir26_f_p25,e_rank_b_kir26_m_p25,q1_dif,q2_dif,q3_dif,q4_dif,q5_dif,all_q_dif
Georgia,0.708,0.625,0.749,0.713,0.772,0.782,0.801,0.833,0.819,0.852,0,0,0,0,0,0,0,0,0,0,0.715,0.615,0.761,0.7,0.784,0.742,0.799,0.791,0.785,0.802,0,0,0,0,0.001,0.001,0.002,0.002,0.004,0.004,0.682,0.671,0.733,0.736,0.764,0.801,0.802,0.838,0.82,0.853,0.001,0.001,0.001,0,0,0,0,0,0,0,8558239,-0.187,-0.214,0.289,0.233,0.078,0.261,37262.662,0.525,14.224,0,0,17.485,-6.935,0.029,0.015,5055.946,-0.036,0.153,0.351,0.025,0.021,0.069,-1.431,0.002,0.248,1.681,0.003,0.799,38.853,39.318,-0.083,-0.036,0.01,0.032,0.033,-0.009
Hawaii,0.737,0.724,0.772,0.809,0.817,0.83,0.841,0.86,0.852,0.858,0,0,0,0,0,0,0,0,0,0,0.743,0.727,0.781,0.804,0.814,0.814,0.799,0.845,0.837,0.738,0.001,0.001,0,0,0.001,0.001,0.002,0.002,0.003,0.005,0.727,0.719,0.763,0.812,0.819,0.837,0.845,0.862,0.853,0.861,0.001,0.001,0,0,0,0,0,0,0,0,1211537,0.094,-0.14,0.017,0.122,0.081,0.271,38823.153,0.398,9.121,0,1.05,18.319,-14.799,0.018,0.014,4046.738,-0.125,0.035,0.293,0.029,0.029,0.175,0,0.001,0.182,-1.03,0.104,-1.023,43.895,49.636,-0.013,0.037,0.013,0.019,0.006,0.012
Idaho,0.691,0.77,0.707,0.832,0.691,0.864,0.718,0.876,0.721,0.882,0.001,0.001,0,0,0,0,0.001,0,0.001,0,0.723,0.76,0.749,0.819,0.699,0.868,0.735,0.879,0.809,0.882,0.001,0.001,0.001,0.001,0.002,0.001,0.004,0.002,0.007,0.003,0.655,0.779,0.686,0.839,0.69,0.863,0.718,0.876,0.718,0.882,0.002,0.001,0.001,0,0,0,0.001,0,0.001,0,1061496,-0.265,0.158,0.004,0.085,0.048,0.439,33455.838,0.381,10.202,0,0.4,19.248,1.111,0.018,0.014,2627.136,-0.049,0.133,0.532,0.026,0.018,0.053,0.216,0.001,0.161,-1.159,-1.035,-1.59,38.422,49.354,0.079,0.125,0.173,0.158,0.161,0.139
Illinois,0.739,0.672,0.786,0.755,0.813,0.822,0.842,0.87,0.862,0.887,0,0,0,0,0,0,0,0,0,0,0.742,0.657,0.791,0.729,0.811,0.781,0.825,0.816,0.835,0.85,0,0,0,0,0,0,0.001,0.001,0.002,0.001,0.732,0.736,0.784,0.801,0.814,0.845,0.844,0.877,0.863,0.888,0.001,0,0,0,0,0,0,0,0,0,12178515,-0.011,-0.093,0.147,0.356,0.089,0.272,42468.313,0.472,16.453,0.476,0,18.331,-4.138,0.025,0.012,8610.457,-0.077,0.16,0.469,0.013,0.017,0.125,-0.088,0.002,0.207,0.259,0.359,-0.322,43.813,45.045,-0.067,-0.031,0.009,0.028,0.025,-0.007
Indiana,0.696,0.695,0.75,0.786,0.781,0.851,0.813,0.881,0.84,0.895,0,0,0,0,0,0,0,0,0,0,0.706,0.688,0.77,0.775,0.795,0.828,0.812,0.841,0.836,0.865,0.001,0.001,0,0,0.001,0.001,0.002,0.001,0.003,0.003,0.679,0.72,0.729,0.801,0.777,0.858,0.812,0.884,0.84,0.896,0.001,0.001,0,0,0,0,0,0,0,0,6293253,-0.082,-0.039,0.085,0.253,0.064,0.351,37251.494,0.4,11.923,0,0,18.628,-0.858,0.018,0.015,7694.818,-0.026,0.233,0.477,0.017,0.016,0.031,0.482,0.002,0.21,-0.352,-0.469,-0.235,38.886,46.315,-0.001,0.036,0.07,0.068,0.055,0.046
Iowa,0.782,0.782,0.831,0.835,0.86,0.886,0.873,0.907,0.874,0.899,0.001,0.001,0,0,0,0,0,0,0.001,0,0.788,0.785,0.849,0.847,0.846,0.873,0.852,0.891,0.851,0.868,0.002,0.002,0.001,0.001,0.002,0.002,0.004,0.002,0.005,0.004,0.772,0.783,0.819,0.83,0.862,0.888,0.874,0.908,0.875,0.9,0.002,0.002,0.001,0.001,0,0,0,0,0.001,0,2738775,0.775,0.455,0.019,0.132,0.038,0.479,36616.599,0.351,11.044,3.714,2.86,15.662,2.984,-0.013,0.022,6461.829,0.064,0.176,0.657,0.013,0.014,0.032,1.501,0.001,0.173,-1.016,-1.362,-1.267,46.662,53.349,0,0.004,0.026,0.034,0.025,0.018
Kansas,0.761,0.787,0.783,0.832,0.81,0.87,0.831,0.892,0.846,0.889,0.002,0.001,0.001,0.001,0.001,0,0.001,0,0.001,0.001,0.772,0.788,0.801,0.823,0.804,0.839,0.807,0.885,0.85,0.85,0.002,0.002,0.002,0.001,0.003,0.003,0.005,0.003,0.004,0.003,0.747,0.786,0.775,0.836,0.812,0.875,0.832,0.892,0.846,0.889,0.003,0.003,0.001,0.001,0.001,0,0.001,0,0.001,0.001,2021272,0.005,0.717,0.047,0.128,0.053,0.478,35086.135,0.35,9.216,1.905,0.2,15.875,3.913,-0.007,0.025,3453.294,0.02,0.165,0.551,0.016,0.019,0.046,0.91,0.001,0.182,-0.733,-0.855,-1,42.371,50.191,0.026,0.049,0.06,0.061,0.043,0.048
Kentucky,0.68,0.689,0.739,0.776,0.776,0.839,0.823,0.865,0.843,0.86,0,0,0,0,0,0,0,0,0.001,0.001,0.696,0.68,0.753,0.762,0.776,0.826,0.804,0.808,0.819,0.847,0.001,0.001,0.001,0.001,0.002,0.002,0.004,0.004,0.004,0.004,0.649,0.706,0.731,0.782,0.775,0.841,0.825,0.869,0.843,0.86,0.001,0.001,0,0,0,0,0,0,0.001,0.001,3994361,-0.091,0.102,0.07,0.177,0.054,0.328,32177.572,0.454,11.93,0,0.2,16.901,-2.756,0.008,0.016,4478.694,-0.011,0.173,0.378,0.012,0.011,0.019,-0.222,0.002,0.215,-0.509,-0.837,-0.096,37.631,44.335,0.009,0.037,0.063,0.042,0.017,0.034
Louisiana,0.744,0.701,0.759,0.777,0.774,0.838,0.799,0.862,0.818,0.864,0,0,0,0,0,0,0,0,0,0,0.756,0.694,0.78,0.755,0.792,0.803,0.779,0.826,0.765,0.802,0,0,0,0,0.001,0.001,0.002,0.002,0.004,0.004,0.699,0.728,0.737,0.799,0.768,0.849,0.8,0.865,0.82,0.867,0.001,0,0,0,0,0,0,0,0,0,4428383,-0.276,-0.158,0.322,0.279,0.074,0.302,31153.406,0.538,12.954,0,4,17.176,-9.232,0.042,0.019,4408.711,-0.035,0.101,0.283,0.012,0.014,0.026,-0.997,0.003,0.283,2,-0.154,1.756,39.188,45.449,-0.043,0.018,0.064,0.063,0.046,0.03
Maine,0.701,0.712,0.755,0.785,0.804,0.834,0.85,0.869,0.856,0.869,0,0,0,0,0,0,0,0,0,0,0.704,0.717,0.766,0.784,0.8,0.789,0.786,0.849,0.855,0.827,0.001,0.001,0.001,0.001,0.002,0.001,0.002,0.001,0.004,0.004,0.699,0.705,0.75,0.784,0.804,0.842,0.853,0.872,0.857,0.87,0.001,0.001,0,0,0,0,0,0,0,0,1088181,-0.222,0.105,0.005,0.061,0.039,0.388,35125.848,0.421,11.541,0.234,0,15.755,3.137,-0.01,0.018,3924.94,0.082,0.134,0.555,0.015,0.013,0.029,0.249,0.001,0.208,-1.149,-1.313,-0.303,41.764,48.05,0.011,0.03,0.03,0.019,0.013,0.021
Maryland,0.713,0.634,0.77,0.723,0.795,0.795,0.836,0.853,0.867,0.875,0,0,0,0,0,0,0,0,0,0,0.716,0.624,0.773,0.703,0.79,0.772,0.841,0.819,0.808,0.869,0,0,0,0,0,0,0.001,0.001,0.001,0,0.698,0.706,0.766,0.773,0.795,0.807,0.836,0.858,0.87,0.875,0,0,0,0,0,0,0,0,0,0,2822271,0.023,-0.413,0.256,0.331,0.117,0.215,43342.303,0.485,15.367,11.429,1,17.858,-2.284,0.015,0.013,8368.724,-0.035,0.091,0.555,0.021,0.021,0.054,-0.096,0.003,0.256,1.346,1.303,1.02,44.638,43.283,-0.079,-0.047,0,0.017,0.008,-0.02
Massachusetts,0.736,0.722,0.802,0.781,0.835,0.828,0.861,0.864,0.88,0.879,0,0,0,0,0,0,0,0,0,0,0.734,0.711,0.802,0.778,0.836,0.812,0.847,0.825,0.84,0.839,0,0,0,0,0,0,0,0,0,0.001,0.743,0.751,0.802,0.783,0.835,0.834,0.862,0.868,0.882,0.881,0,0,0,0,0,0,0,0,0,0,5851413,0.054,0.147,0.053,0.261,0.074,0.27,47711.46,0.468,19.94,3.571,0,15.582,3.613,0.002,0.008,15202.061,0.019,0.124,0.585,0.014,0.021,0.122,0.333,0.003,0.216,-0.676,-0.132,-0.068,49.451,50.397,-0.014,-0.021,-0.007,0.003,-0.001,-0.008
Michigan,0.694,0.646,0.752,0.742,0.78,0.802,0.805,0.846,0.84,0.871,0,0,0,0,0,0,0,0,0,0,0.701,0.631,0.76,0.727,0.8,0.768,0.795,0.784,0.81,0.813,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.675,0.698,0.741,0.763,0.772,0.814,0.806,0.854,0.841,0.874,0.001,0.001,0,0,0,0,0,0,0,0,9526066,-0.017,0.038,0.144,0.351,0.083,0.305,40939.116,0.416,12.891,0,0,20.186,-2.888,-0.033,0.01,5292.357,-0.074,0.222,0.488,0.011,0.014,0.053,0.084,0.002,0.23,0.229,0.151,0.309,39.877,42.509,-0.048,-0.01,0.022,0.041,0.031,0.007
Minnesota,0.777,0.762,0.827,0.815,0.849,0.871,0.871,0.896,0.882,0.899,0,0,0,0,0,0,0,0,0,0,0.77,0.753,0.834,0.809,0.866,0.849,0.849,0.87,0.87,0.853,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.003,0.791,0.789,0.823,0.822,0.842,0.878,0.872,0.898,0.882,0.9,0.001,0.001,0,0,0,0,0,0,0,0,4916436,0.425,0.495,0.034,0.163,0.073,0.354,42466.219,0.354,12.87,17.286,2.5,18.117,3.351,0.005,0.02,5895.443,-0.032,0.163,0.629,0.016,0.017,0.053,1.579,0.001,0.178,-0.86,-0.179,-1.131,47.75,51.739,-0.015,-0.012,0.022,0.025,0.017,0.007
Mississippi,0.727,0.682,0.749,0.757,0.784,0.827,0.813,0.868,0.819,0.86,0,0,0,0,0,0,0.001,0,0.001,0.001,0.738,0.675,0.771,0.741,0.815,0.795,0.795,0.835,0.761,0.833,0,0,0.001,0.001,0.002,0.002,0.007,0.005,0.005,0.004,0.684,0.712,0.723,0.78,0.777,0.835,0.814,0.87,0.823,0.863,0.001,0.001,0.001,0.001,0.001,0,0.001,0,0.001,0.001,2779642,0.089,-0.035,0.365,0.187,0.045,0.343,28997.554,0.516,13.352,0,0,18.323,-11.465,0.004,0.014,1986.185,0.004,0.188,0.308,0.014,0.015,0.014,-0.782,0.002,0.297,2.436,-1.141,2.147,38.1,41.574,-0.045,0.008,0.043,0.055,0.041,0.02
Missouri,0.744,0.69,0.784,0.787,0.809,0.846,0.837,0.879,0.852,0.884,0,0,0,0,0,0,0,0,0,0,0.747,0.684,0.796,0.772,0.82,0.816,0.817,0.845,0.841,0.855,0.001,0.001,0.001,0.001,0.002,0.001,0.002,0.001,0.003,0.002,0.732,0.728,0.77,0.807,0.805,0.858,0.838,0.882,0.853,0.885,0.001,0.001,0,0,0,0,0,0,0,0,6496511,-0.009,0.049,0.115,0.265,0.08,0.316,38174.984,0.438,13.339,0,0,16.358,-1.836,0.002,0.017,6314.024,-0.012,0.143,0.519,0.015,0.015,0.03,0.336,0.002,0.22,-0.059,0.044,0.042,41.191,44.951,-0.054,0.003,0.037,0.042,0.032,0.012
Montana,0.746,0.793,0.77,0.839,0.79,0.869,0.815,0.882,0.839,0.878,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.746,0.788,0.792,0.842,0.77,0.887,0.779,0.895,0.9,0.819,0.003,0.002,0.003,0.002,0.006,0.003,0.01,0.004,0.009,0.013,0.748,0.796,0.762,0.837,0.794,0.868,0.819,0.882,0.839,0.88,0.003,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.001,880421,-1.286,0.366,0.003,0.098,0.044,0.527,31762.52,0.396,9.341,0,0,17.01,7.701,0,0.027,3504.599,-0.04,0.06,0.583,0.021,0.019,0.018,1.151,0.002,0.189,-1.173,-1.168,-0.827,41.672,50.945,0.047,0.069,0.079,0.067,0.039,0.06
Nebraska,0.787,0.79,0.823,0.835,0.844,0.882,0.868,0.9,0.867,0.897,0.001,0.001,0,0,0,0,0,0,0.001,0.001,0.786,0.789,0.832,0.843,0.835,0.86,0.825,0.847,0.85,0.841,0.002,0.001,0.001,0.001,0.002,0.002,0.001,0.001,0.003,0.003,0.784,0.801,0.817,0.834,0.845,0.885,0.871,0.902,0.866,0.897,0.002,0.002,0.001,0.001,0,0,0.001,0,0.001,0.001,1754086,0.664,0.187,0.039,0.18,0.063,0.457,36821.305,0.385,13.912,0,1.72,15.514,1.274,0.003,0.024,4850.79,-0.01,0.12,0.642,0.016,0.016,0.042,1.055,0.001,0.185,-0.815,-0.51,-0.933,45.51,50.891,0.003,0.012,0.038,0.032,0.03,0.023
Nevada,0.688,0.701,0.736,0.762,0.747,0.807,0.762,0.842,0.763,0.845,0,0,0,0,0,0,0,0,0,0,0.693,0.681,0.737,0.759,0.739,0.782,0.763,0.797,0.775,0.779,0.001,0,0,0,0.001,0,0.001,0.001,0.002,0.001,0.673,0.762,0.734,0.769,0.752,0.818,0.762,0.85,0.762,0.849,0.001,0.001,0,0,0,0,0,0,0,0,2112030,0.286,0.061,0.063,0.127,0.088,0.286,38818.693,0.496,19.545,0,0,20.621,-15.011,-0,0.009,4003.48,-0.161,0.049,0.413,0.055,0.034,0.153,-2.038,0.002,0.214,-0.578,0.316,-0.124,43.887,47.772,0.013,0.026,0.06,0.08,0.082,0.052
New Hampshire,0.708,0.737,0.783,0.8,0.826,0.838,0.852,0.868,0.875,0.872,0,0,0,0,0,0,0,0,0,0,0.707,0.738,0.789,0.792,0.82,0.828,0.871,0.826,0.838,0.864,0,0,0,0,0,0,0.001,0.001,0.002,0.001,0.712,0.736,0.778,0.808,0.828,0.84,0.851,0.871,0.877,0.872,0.001,0.001,0,0,0,0,0,0,0,0,1311432,-0.204,0.019,0.007,0.075,0.057,0.311,42946.335,0.389,13.79,0,0,16.562,3.472,0.017,0.009,8371.939,0.022,0.18,0.631,0.024,0.02,0.042,-0.177,0.001,0.175,-1.134,-0.711,-1.205,45.391,50.227,0.029,0.017,0.012,0.016,-0.003,0.014
New Jersey,0.74,0.695,0.794,0.761,0.825,0.811,0.852,0.852,0.87,0.876,0,0,0,0,0,0,0,0,0,0,0.749,0.693,0.794,0.746,0.817,0.788,0.838,0.797,0.835,0.816,0,0,0,0,0,0,0,0,0,0,0.716,0.703,0.795,0.787,0.829,0.825,0.854,0.861,0.872,0.878,0,0,0,0,0,0,0,0,0,0,6948503,0.199,0.195,0.125,0.303,0.1,0.239,51804.853,0.5,18.592,1.19,7.22,15.404,0.461,-0.006,0.004,6766.371,-0.168,0.122,0.479,0.018,0.024,0.204,-0.481,0.002,0.183,0.043,0.736,-0.994,50.21,48.563,-0.045,-0.033,-0.014,0,0.006,-0.017
